순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,류현진,한화,2.23,30,18,6,1,0,0.75,201 2/3,159,11,52,2,204,57,50,1.05,6,1,18,0,800,3020,0.221,28,1,24,3,3,6,0
2,브라운,삼성,2.68,27,11,9,0,0,0.55,154 1/3,118,14,44,13,92,50,46,1.05,1,0,15,0,625,2391,0.214,18,3,11,6,1,3,0
3,손민한,롯데,2.78,25,10,8,1,0,0.556,161 2/3,147,4,39,9,96,54,50,1.15,2,1,15,0,664,2399,0.247,27,1,16,3,6,3,0
4,이혜천,두산,2.79,32,8,6,0,1,0.571,142,119,4,56,12,104,52,44,1.23,0,0,10,0,594,2224,0.235,20,0,11,8,0,5,1
5,장원삼,현대,2.85,29,12,10,0,0,0.545,183 1/3,146,19,63,5,142,60,58,1.14,0,0,19,0,743,2914,0.223,25,0,17,2,0,3,0
6,캘러웨이,현대,2.87,27,14,7,0,0,0.667,166 1/3,171,4,35,8,95,61,53,1.24,0,0,18,0,703,2532,0.264,19,2,12,1,0,4,0
7,리오스,두산,2.9,34,12,16,0,0,0.429,233,204,14,49,15,145,86,75,1.09,4,1,24,0,945,3485,0.24,25,3,25,7,1,8,0
8,배영수,삼성,2.92,32,8,9,0,4,0.471,157 1/3,142,13,38,9,133,56,51,1.14,0,0,11,0,647,2451,0.245,30,1,17,4,2,1,0
9,랜들,두산,2.95,30,16,8,0,0,0.667,192 1/3,170,14,58,10,142,66,63,1.19,2,2,19,0,795,3060,0.245,23,5,24,8,2,2,0
10,그레이싱어,KIA,3.02,29,14,12,0,0,0.538,188,151,10,47,12,164,65,63,1.05,2,0,19,0,753,2958,0.223,26,1,14,2,0,3,0
11,문동환,한화,3.05,31,16,9,1,0,0.64,189,186,10,67,11,85,78,64,1.34,4,2,18,0,798,2911,0.263,19,2,12,1,0,5,0
12,채병용,SK,3.07,27,7,8,0,0,0.467,152 2/3,136,10,55,9,97,60,52,1.25,0,0,12,0,640,2452,0.245,19,1,14,6,2,2,1
13,이상목,롯데,3.25,23,12,8,0,0,0.6,138 2/3,132,17,23,5,50,63,50,1.12,1,0,15,0,566,2010,0.253,26,1,12,5,0,2,0
14,한기주,KIA,3.26,44,10,11,1,8,0.476,140 2/3,117,8,52,12,78,57,51,1.2,0,0,5,1,584,2207,0.232,20,0,14,2,1,8,0
15,하리칼라,삼성,3.33,23,12,7,0,0,0.632,135 1/3,131,14,26,6,70,60,50,1.16,0,0,13,0,552,1953,0.26,23,0,15,1,0,1,0
16,전준호,현대,3.39,30,14,4,1,0,0.778,143 1/3,141,7,60,12,82,56,54,1.4,1,0,13,0,627,2418,0.259,22,1,8,2,0,5,0
17,정재복,LG,3.59,29,7,10,0,0,0.412,143,126,9,49,3,63,64,57,1.22,0,0,14,0,591,2247,0.244,20,2,19,3,2,2,0
18,송진우,한화,3.6,26,8,8,0,0,0.5,147 1/3,147,10,47,9,94,64,59,1.32,0,0,12,0,624,2371,0.265,23,0,14,0,1,6,0
19,장원준,롯데,3.61,29,7,12,0,0,0.368,179 2/3,152,14,75,9,130,85,72,1.26,1,0,18,0,755,2952,0.233,33,1,17,3,1,2,1
20,염종석,롯데,3.72,25,6,9,0,0,0.4,128 1/3,146,7,31,5,62,62,53,1.38,0,0,10,0,547,1922,0.295,19,2,12,4,0,2,0
21,전병호,삼성,3.9,35,10,8,0,2,0.556,134,146,10,47,5,65,69,58,1.44,0,0,7,0,584,2109,0.285,26,2,15,5,0,3,2
22,윤길현,SK,3.9,32,5,9,1,2,0.357,140 2/3,126,13,54,7,91,66,61,1.28,0,0,6,0,594,2275,0.243,23,1,11,4,1,6,0
23,임동규,삼성,3.91,34,8,7,0,3,0.533,138,136,20,41,8,59,69,60,1.28,0,0,10,0,588,2263,0.262,29,1,15,4,1,1,1
24,정민철,한화,3.93,25,7,13,0,0,0.35,130 2/3,142,18,42,5,62,68,57,1.41,0,0,6,0,563,2113,0.284,16,2,12,4,0,6,1
25,김원형,SK,4.07,24,5,9,0,0,0.357,139 1/3,152,11,41,13,52,69,63,1.39,0,0,14,0,603,2099,0.286,30,2,14,3,0,1,0
26,심수창,LG,4.38,29,10,9,0,0,0.526,135 2/3,147,17,52,8,56,73,66,1.47,0,0,10,0,595,2182,0.286,19,4,17,4,2,5,1
