순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,김광현,SK,2.8,21,12,2,0,0,0.857,138 1/3,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0
2,전병두,SK,3.11,49,8,4,8,1,0.667,133 1/3,114,13,48,2,136,50,46,1.22,0,0,2,1,554,2198,0.232,13,1,9,4,7,11,1
3,로페즈,KIA,3.12,29,14,5,0,0,0.737,190 1/3,200,6,41,10,129,83,66,1.27,4,0,18,0,802,2930,0.271,40,3,7,7,0,3,0
4,송은범,SK,3.13,31,12,3,0,0,0.8,149 1/3,155,17,49,5,103,59,52,1.37,1,0,12,0,637,2468,0.269,23,3,4,3,0,4,0
5,양현종,KIA,3.15,29,12,5,0,1,0.706,148 2/3,133,14,58,2,139,55,52,1.28,0,0,13,0,627,2491,0.238,28,3,6,3,0,3,0
6,구톰슨,KIA,3.24,26,13,4,0,0,0.765,161 1/3,149,15,46,8,95,61,58,1.21,0,0,13,0,667,2476,0.246,26,5,7,1,2,0,0
7,봉중근,LG,3.29,26,11,12,0,0,0.478,172 1/3,160,13,57,14,127,70,63,1.26,0,0,19,0,719,2789,0.254,22,0,14,3,0,7,0
8,류현진,한화,3.57,28,13,12,0,0,0.52,189 1/3,180,19,67,2,188,80,75,1.3,4,2,17,0,793,3064,0.254,28,0,12,3,3,4,1
9,조정훈,롯데,4.05,27,14,9,0,0,0.609,182 1/3,189,23,53,7,175,97,82,1.33,2,2,16,0,784,2664,0.264,38,3,6,2,3,11,0
10,장원준,롯데,4.15,28,13,8,0,0,0.619,162 2/3,175,16,82,6,108,83,75,1.58,1,1,12,0,727,2693,0.285,32,0,17,7,5,4,0
11,이현승,히어로즈,4.18,30,13,10,0,0,0.565,170,161,25,66,5,120,84,79,1.34,0,0,16,0,716,2815,0.253,27,1,7,2,1,1,1
12,윤성환,삼성,4.32,30,14,5,0,0,0.737,166 2/3,163,19,34,10,131,83,80,1.18,2,0,15,0,690,2654,0.257,29,4,6,6,0,3,0
13,크루세타,삼성,4.36,30,9,10,0,0,0.474,157,134,11,109,6,127,90,76,1.55,1,1,14,0,700,2760,0.238,25,4,16,5,1,19,0
14,송승준,롯데,4.72,29,13,8,0,0,0.619,167 2/3,175,25,68,8,104,92,88,1.45,3,3,13,0,735,2732,0.272,33,2,10,4,4,10,0
15,김선우,두산,5.11,29,11,10,0,0,0.524,148,176,18,48,6,89,93,84,1.51,0,0,8,0,649,2465,0.301,31,4,7,3,0,10,0
16,안영명,한화,5.18,26,11,8,0,0,0.579,140 2/3,148,34,45,7,87,88,81,1.37,0,0,7,0,609,2381,0.27,24,1,5,3,1,3,0
