CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,16,0,601,2353,0.273,20,1,11,3,0,5,0
1,1,20,0,817,3361,0.223,21,3,22,7,3,6,0
1,0,16,0,741,2769,0.263,29,1,10,4,1,3,0
4,2,17,0,707,2700,0.244,20,2,14,3,1,10,0
1,1,17,0,774,2826,0.282,43,3,15,5,2,2,1
1,1,14,0,618,2235,0.256,31,3,7,1,1,1,0
5,1,12,0,676,2315,0.262,33,3,17,5,3,2,0
3,1,14,0,711,2591,0.254,26,2,16,1,2,2,0
2,0,19,0,820,3086,0.263,42,1,15,8,1,5,0
0,0,10,0,598,2245,0.249,19,2,5,7,1,6,1
0,0,11,0,672,2640,0.264,23,1,18,5,2,6,1
1,1,11,0,662,2546,0.275,26,1,15,6,1,4,1
1,0,12,0,722,2803,0.281,38,4,10,8,0,12,1
1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0
