순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,니퍼트,두산,2.95,28,22,3,0,0,0.88,167 2/3,151,15,57,9,142,61,55,1.24
2,장원준,두산,3.32,27,15,6,0,0,0.714,168,161,14,76,9,137,66,62,1.41
3,헥터,KIA,3.4,31,15,5,0,0,0.75,206 2/3,211,7,51,6,139,88,78,1.27
4,켈리,SK,3.68,31,9,8,0,0,0.529,200 1/3,205,15,60,7,152,91,82,1.32
4,양현종,KIA,3.68,31,10,12,0,0,0.455,200 1/3,191,19,77,2,146,96,82,1.34
6,보우덴,두산,3.8,30,18,7,0,0,0.72,180,159,17,54,6,160,83,76,1.18
7,신재영,넥센,3.9,30,15,7,0,0,0.682,168 2/3,192,19,21,11,99,76,73,1.26
8,류제국,LG,4.3,29,13,11,0,0,0.542,161 1/3,152,14,70,21,138,83,77,1.38
9,레일리,롯데,4.34,31,8,10,0,0,0.444,184 2/3,207,21,51,17,147,105,89,1.4
10,윤성환,삼성,4.35,28,11,10,0,0,0.524,180,202,25,41,13,85,95,87,1.35
11,유희관,두산,4.41,30,15,6,0,0,0.714,185 2/3,212,22,58,6,102,95,91,1.45
12,피어밴드,KT,4.45,31,7,13,0,0,0.35,182,231,23,48,10,144,97,90,1.53
13,스튜어트,NC,4.56,27,12,8,0,0,0.6,150,160,11,55,8,118,79,76,1.43
14,차우찬,삼성,4.73,24,12,6,0,0,0.667,152 1/3,168,16,65,8,120,87,80,1.53
15,소사,LG,5.16,33,10,9,0,0,0.526,199,258,12,38,9,107,121,114,1.49
16,지크,KIA,5.27,30,10,13,0,0,0.435,152,188,16,68,5,125,104,89,1.68
17,린드블럼,롯데,5.28,30,10,13,0,0,0.435,177 1/3,197,28,77,9,148,109,104,1.55
